,state,district,market,commodity
0,Andaman and Nicobar,South Andaman,Port Blair,Amaranthus
1,Andaman and Nicobar,South Andaman,Port Blair,Banana - Green
2,Andaman and Nicobar,South Andaman,Port Blair,Bhindi(Ladies Finger)
3,Andaman and Nicobar,South Andaman,Port Blair,Bitter gourd
4,Andaman and Nicobar,South Andaman,Port Blair,Black pepper
